word,pos,definition
il,article,the
essere,verb,to be
di,preposition,of
uno,article,a
e,conjunction,and
in,preposition,in
a,preposition,"a, at, in, to, by, on"
avere,verb,to have
per,preposition,for
non,adverb,not
si,pronoun,"itself, herself, himself"
ma,conjunction,but
da,preposition,from
con,preposition,with
lo,pronoun,"him, it"
anche,adverb,also
questo,determiner,this
tutto,pronoun,everything
fare,verb,to do
che,pronoun,"that, who, which"
ci,pronoun,"us, it"
come,preposition,"as, like"
più,adverb,more
due,numeral,two
ora,adverb,now
solo,adverb,"only, alone"
ancora,adverb,still
suo,determiner,his
poi,adverb,then
cosa,pronoun,what
molto,adverb,very much
nuovo,adjective,new
altro,adjective,another
su,preposition,on
potere,verb,"can, be able to"
primo,adjective,first
oggi,adverb,today
così,adverb,"so, like this"
andare,verb,to go
dovere,verb,"to have to, must"
mi,pronoun,me
anno,noun,year
venire,verb,to come
grande,adjective,big
tempo,noun,time
dire,verb,to say
arrivare,verb,to arrive
senza,preposition,without
nessuno,determiner,"nobody, anybody"
lavoro,noun,work
tra,preposition,between
o,conjunction,or
sempre,adverb,always
giorno,noun,day
problema,noun,problem
volere,verb,to want
poco,adverb,little
dopo,preposition,after
italiano,adjective,Italian
perché,conjunction,why
bene,adverb,well
stare,verb,to stay
contro,preposition,against
già,adverb,already
invece,adverb,instead
qui,adverb,here
Roma,proper noun,Rome
quindi,adverb,so
parlare,verb,to speak
tre,numeral,three
parte,noun,part
euro,noun,euro
casa,noun,"house, home"
quello,pronoun,that
punto,noun,point
presidente,noun,president
governo,noun,government
tornare,verb,to return
via,noun,street
restare,verb,to remain
sembrare,verb,to seem
secondo,adjective,second
squadra,noun,team
caso,noun,"coincidence, instance"
vedere,verb,to see
stesso,adjective,same
Italia,proper noun,Italy
quale,pronoun,which
tanto,determiner,so much
risultato,noun,result
mai,adverb,never
insomma,adverb,in short
però,adverb,but
niente,pronoun,nothing
mercato,noun,market
comunque,adverb,"anyhow, anyway"
continuare,verb,to continue
situazione,noun,situation
dunque,adverb,"so, therfore"
nostro,determiner,our
finire,verb,to finish
diverso,adjective,different
loro,determiner,their
vero,adjective,true
parola,noun,word
fine,noun,end
momento,noun,moment
rimanere,verb,to stay
forse,adverb,perhaps
proprio,adverb,"exactly, precisely"
buono,adjective,good
storia,noun,history
cambiare,verb,to exchange
partita,noun,match
calcio,noun,"soccer, kick, calcium"
mio,pronoun,my
riferire,verb,"to report, to tell"
chi,pronoun,who
adesso,adverb,now
uomo,noun,man
notizia,noun,news
persona,noun,person
annunciare,verb,to announce
troppo,adverb,too much
prossimo,adjective,next
io,pronoun,I
donna,noun,woman
dare,verb,to give
prevedere,verb,to foresee
città,noun,city
mondo,noun,world
posto,noun,place
futuro,noun,the future
vita,noun,life
giovane,noun,young person
trovare,verb,to find
vincere,verb,to win
bello,adjective,nice
davvero,adverb,really
ecco,adverb,"here, there"
perdere,verb,to lose
chiedere,verb,to ask
pubblico,adjective,public
strada,noun,street
polizia,noun,police
domani,adverb,tomorrow
campo,noun,field
ultimo,adjective,last
gruppo,noun,group
milione,numeral,million
chiudere,verb,to close
pensare,verb,to think
qualche,determiner,"some, a few, any"
allora,adverb,so
gara,noun,competition
finale,noun,final
politico,adjective,political
consiglio,noun,advice
centro,noun,center
diventare,verb,to become
se,conjunction,if
ogni,determiner,every
quanto,pronoun,"how much, how many"
mese,noun,month
ieri,adverb,yesterday
intanto,adverb,in the meantime
trattare,verb,to deal with
gol,noun,goal
noi,pronoun,we
società,noun,society
Milano,proper noun,Milan
passare,verb,to pass
sotto,preposition,under
questione,noun,question
giornata,noun,day
ministro,noun,minister
quattro,numeral,four
prendere,verb,to take
volta,noun,time
carabiniere,noun,carabiniere
gioco,noun,game
prima,adverb,before
cominciare,verb,to start
soprattutto,adverb,"especially, above all"
famiglia,noun,family
progetto,noun,project
no,adverb,no
numero,noun,number
settimana,noun,week
risposta,noun,reply
meglio,adverb,better
scuola,noun,school
lui,pronoun,he
importante,adjective,important
subito,adverb,immediately
prezzo,noun,price
difficile,adjective,hard
nulla,pronoun,nothing
paese,noun,country
comune,noun,"city hall, town hall"
programma,noun,program
quasi,adverb,almost
sapere,verb,to know
bisognare,verb,it is necessary to
servizio,noun,service
dove,adverb,where
titolo,noun,title
nome,noun,name
giocatore,noun,player
stato,noun,state
colpo,noun,blow
sindaco,noun,mayor
almeno,adverb,at least
mancare,verb,to be missing
nazionale,adjective,national
vittima,noun,victim
certo,adverb,of course
europeo,adjective,European
vittoria,noun,victory
sicurezza,noun,safety
fatto,noun,fact
iniziare,verb,"to begin, to start"
alcuno,determiner,"not any, no"
dato,noun,"figure, data"
domenica,noun,Sunday
crisi,noun,crisis
avvenire,verb,"to happen, future"
positivo,adjective,positive
bastare,verb,"to suffice, to be enough"
ragazzo,noun,boy
sito,noun,site
rischio,noun,risk
giocare,verb,to play
stagione,noun,season
verso,preposition,toward
lungo,adjective,long
scelta,noun,choice
guerra,noun,war
confermare,verb,to confirm
condizione,noun,condition
Napoli,proper noun,Naples
resto,noun,rest
rete,noun,net
morire,verb,to die
terzo,adjective,third
sì,interjection,yes
piazza,noun,"square, plaza"
piccolo,adjective,small
aperto,adjective,open
decisione,noun,decision
incontro,noun,meeting
corso,noun,course
musica,noun,music
indagine,noun,investigation
nota,noun,note
notte,noun,night
ferito,noun,wounded
polemica,noun,controversy
politica,noun,politics
sentire,verb,to feel
voto,noun,"vote, mark"
accordo,noun,agreement
chiaro,adjective,"clear, light"
noto,adjective,well-known
aspettare,verb,to wait
tecnico,adjective,technical
decidere,verb,to decide
pronto,adjective,ready
infine,adverb,in the end
bambino,noun,baby
legge,noun,law
ormai,adverb,at this point
lasciare,verb,to leave
ripresa,noun,"recovery, shooting"
forza,noun,force
piano,noun,plan
banca,noun,bank
cinque,numeral,five
circa,adverb,approximately
sperare,verb,to hope
partire,verb,to leave
nascere,verb,to be born
aprire,verb,to open
paura,noun,fear
fuori,adverb,out
regione,noun,region
miliardo,numeral,billion
attendere,verb,to wait for
partito,noun,party
incidente,noun,"incident, accident"
sei,numeral,six
avanti,adverb,forward
prova,noun,trial
chiamare,verb,to call
tifoso,noun,fan
lei,pronoun,she
figlio,noun,son
campionato,noun,championship
allenatore,noun,trainer
festa,noun,party
serata,noun,evening
forte,adjective,strong
presentare,verb,to present
meno,adverb,less
migliore,adjective,better
mano,noun,hand
giugno,noun,June
novità,noun,news
locale,adjective,local
esistere,verb,to exist
operazione,noun,operation
servire,verb,to serve
lavorare,verb,to work
attacco,noun,attack
possibile,adjective,possible
mezzo,noun,half
piacere,verb,to like
settembre,noun,September
libero,adjective,free
informazione,noun,information
sfida,noun,challenge
dubbio,noun,doubt
processo,noun,process
morto,noun,deceased
rendere,verb,to give back
minuto,noun,minute
obiettivo,noun,objective
esempio,noun,example
calo,noun,"decrease, drop"
motivo,noun,reason
male,adverb,badly
li,pronoun,them
rapporto,noun,report
difesa,noun,defence
protesta,noun,protest
spettacolo,noun,show
danno,noun,damage
auto,noun,car
posizione,noun,position
film,noun,movie
mettere,verb,to put
fonte,noun,source
oltre,adverb,beyond
ovviamente,adverb,obviously
provincia,noun,province
domanda,noun,question
intervento,noun,intervention
conto,noun,bill
quando,conjunction,when
maggio,noun,May
causa,noun,cause
testa,noun,head
controllo,noun,check
ragione,noun,reason
entrare,verb,to enter
vicenda,noun,event
ufficiale,adjective,official
ricerca,noun,"search, research"
giusto,adjective,right
cittadino,noun,citizen
sinistra,noun,left
vi,pronoun,you
conoscere,verb,to know
grave,adjective,serious
bilancio,noun,balance
anzi,conjunction,"actually, rather"
fino,preposition,until
unico,adjective,unique
gente,noun,people
cercare,verb,"to look for, to seek"
appuntamento,noun,appointment
alto,adjective,tall
portare,verb,to bring
contratto,noun,contract
ritorno,noun,return
credere,verb,to believe
azione,noun,action
fuoco,noun,fire
sindacato,noun,trade union
fondo,noun,bottom
particolare,noun,particular
maggiore,adjective,greater
costo,noun,cost
carcere,noun,prison
passo,noun,step
soluzione,noun,solution
attesa,noun,wait
pieno,adjective,full
sabato,noun,Saturday
allarme,noun,alarm
semplice,adjective,simple
riuscire,verb,to be able to
principale,adjective,principal
reazione,noun,reaction
linea,noun,line
fiducia,noun,trust
sogno,noun,dream
massimo,adjective,maximum
affermare,verb,to assert
pomeriggio,noun,afternoon
idea,noun,idea
zona,noun,area
ministero,noun,ministry
amico,noun,friend
crescita,noun,growth
scrivere,verb,to write
scontro,noun,"clash, crash"
soldi,noun,money
giudizio,noun,judgment
settore,noun,sector
dollaro,noun,dollar
sorpresa,noun,surprise
luglio,noun,July
diritto,noun,the right side
episodio,noun,episode
fermare,verb,to stop
duro,adjective,hard
sistema,noun,system
gennaio,noun,January
riportare,verb,"report, bring back"
quarto,adjective,fourth
inoltre,adverb,furthermore
azzurro,adjective,light blue
rispondere,verb,to answer
la,pronoun,"her, it"
inizio,noun,start
stampa,noun,press
rosso,adjective,red
entro,preposition,"by, within"
morte,noun,death
proposta,noun,proposal
maggioranza,noun,majority
ospedale,noun,hospital
ottobre,noun,October
discorso,noun,speech
realtà,noun,reality
vendita,noun,sale
scena,noun,scene
rialzo,noun,rise
arbitro,noun,referee
seguire,verb,to follow
valore,noun,value
commissione,noun,commission
uscire,verb,to go out
grazie,noun,thank you
infatti,adverb,indeed
modo,noun,way
crescere,verb,to grow
accadere,verb,to happen
scattare,verb,"shoot, take a picture"
aprile,noun,April
