1000 Most Common Italian Words
==================================================

  1. il                   [article] - the
  2. essere               [verb] - to be
  3. di                   [preposition] - of
  4. uno                  [article] - a
  5. e                    [conjunction] - and
  6. in                   [preposition] - in
  7. a                    [preposition] - a, at, in, to, by, on
  8. avere                [verb] - to have
  9. per                  [preposition] - for
 10. non                  [adverb] - not
 11. si                   [pronoun] - itself, herself, himself
 12. ma                   [conjunction] - but
 13. da                   [preposition] - from
 14. con                  [preposition] - with
 15. lo                   [pronoun] - him, it
 16. anche                [adverb] - also
 17. questo               [determiner] - this
 18. tutto                [pronoun] - everything
 19. fare                 [verb] - to do
 20. che                  [pronoun] - that, who, which
 21. ci                   [pronoun] - us, it
 22. come                 [preposition] - as, like
 23. più                  [adverb] - more
 24. due                  [numeral] - two
 25. ora                  [adverb] - now
 26. solo                 [adverb] - only, alone
 27. ancora               [adverb] - still
 28. suo                  [determiner] - his
 29. poi                  [adverb] - then
 30. cosa                 [pronoun] - what
 31. molto                [adverb] - very much
 32. nuovo                [adjective] - new
 33. altro                [adjective] - another
 34. su                   [preposition] - on
 35. potere               [verb] - can, be able to
 36. primo                [adjective] - first
 37. oggi                 [adverb] - today
 38. così                 [adverb] - so, like this
 39. andare               [verb] - to go
 40. dovere               [verb] - to have to, must
 41. mi                   [pronoun] - me
 42. anno                 [noun] - year
 43. venire               [verb] - to come
 44. grande               [adjective] - big
 45. tempo                [noun] - time
 46. dire                 [verb] - to say
 47. arrivare             [verb] - to arrive
 48. senza                [preposition] - without
 49. nessuno              [determiner] - nobody, anybody
 50. lavoro               [noun] - work
 51. tra                  [preposition] - between
 52. o                    [conjunction] - or
 53. sempre               [adverb] - always
 54. giorno               [noun] - day
 55. problema             [noun] - problem
 56. volere               [verb] - to want
 57. poco                 [adverb] - little
 58. dopo                 [preposition] - after
 59. italiano             [adjective] - Italian
 60. perché               [conjunction] - why
 61. bene                 [adverb] - well
 62. stare                [verb] - to stay
 63. contro               [preposition] - against
 64. già                  [adverb] - already
 65. invece               [adverb] - instead
 66. qui                  [adverb] - here
 67. Roma                 [proper noun] - Rome
 68. quindi               [adverb] - so
 69. parlare              [verb] - to speak
 70. tre                  [numeral] - three
 71. parte                [noun] - part
 72. euro                 [noun] - euro
 73. casa                 [noun] - house, home
 74. quello               [pronoun] - that
 75. punto                [noun] - point
 76. presidente           [noun] - president
 77. governo              [noun] - government
 78. tornare              [verb] - to return
 79. via                  [noun] - street
 80. restare              [verb] - to remain
 81. sembrare             [verb] - to seem
 82. secondo              [adjective] - second
 83. squadra              [noun] - team
 84. caso                 [noun] - coincidence, instance
 85. vedere               [verb] - to see
 86. stesso               [adjective] - same
 87. Italia               [proper noun] - Italy
 88. quale                [pronoun] - which
 89. tanto                [determiner] - so much
 90. risultato            [noun] - result
 91. mai                  [adverb] - never
 92. insomma              [adverb] - in short
 93. però                 [adverb] - but
 94. niente               [pronoun] - nothing
 95. mercato              [noun] - market
 96. comunque             [adverb] - anyhow, anyway
 97. continuare           [verb] - to continue
 98. situazione           [noun] - situation
 99. dunque               [adverb] - so, therfore
100. nostro               [determiner] - our
101. finire               [verb] - to finish
102. diverso              [adjective] - different
103. loro                 [determiner] - their
104. vero                 [adjective] - true
105. parola               [noun] - word
106. fine                 [noun] - end
107. momento              [noun] - moment
108. rimanere             [verb] - to stay
109. forse                [adverb] - perhaps
110. proprio              [adverb] - exactly, precisely
111. buono                [adjective] - good
112. storia               [noun] - history
113. cambiare             [verb] - to exchange
114. partita              [noun] - match
115. calcio               [noun] - soccer, kick, calcium
116. mio                  [pronoun] - my
117. riferire             [verb] - to report, to tell
118. chi                  [pronoun] - who
119. adesso               [adverb] - now
120. uomo                 [noun] - man
121. notizia              [noun] - news
122. persona              [noun] - person
123. annunciare           [verb] - to announce
124. troppo               [adverb] - too much
125. prossimo             [adjective] - next
126. io                   [pronoun] - I
127. donna                [noun] - woman
128. dare                 [verb] - to give
129. prevedere            [verb] - to foresee
130. città                [noun] - city
131. mondo                [noun] - world
132. posto                [noun] - place
133. futuro               [noun] - the future
134. vita                 [noun] - life
135. giovane              [noun] - young person
136. trovare              [verb] - to find
137. vincere              [verb] - to win
138. bello                [adjective] - nice
139. davvero              [adverb] - really
140. ecco                 [adverb] - here, there
141. perdere              [verb] - to lose
142. chiedere             [verb] - to ask
143. pubblico             [adjective] - public
144. strada               [noun] - street
145. polizia              [noun] - police
146. domani               [adverb] - tomorrow
147. campo                [noun] - field
148. ultimo               [adjective] - last
149. gruppo               [noun] - group
150. milione              [numeral] - million
151. chiudere             [verb] - to close
152. pensare              [verb] - to think
153. qualche              [determiner] - some, a few, any
154. allora               [adverb] - so
155. gara                 [noun] - competition
156. finale               [noun] - final
157. politico             [adjective] - political
158. consiglio            [noun] - advice
159. centro               [noun] - center
160. diventare            [verb] - to become
161. se                   [conjunction] - if
162. ogni                 [determiner] - every
163. quanto               [pronoun] - how much, how many
164. mese                 [noun] - month
165. ieri                 [adverb] - yesterday
166. intanto              [adverb] - in the meantime
167. trattare             [verb] - to deal with
168. gol                  [noun] - goal
169. noi                  [pronoun] - we
170. società              [noun] - society
171. Milano               [proper noun] - Milan
172. passare              [verb] - to pass
173. sotto                [preposition] - under
174. questione            [noun] - question
175. giornata             [noun] - day
176. ministro             [noun] - minister
177. quattro              [numeral] - four
178. prendere             [verb] - to take
179. volta                [noun] - time
180. carabiniere          [noun] - carabiniere
181. gioco                [noun] - game
182. prima                [adverb] - before
183. cominciare           [verb] - to start
184. soprattutto          [adverb] - especially, above all
185. famiglia             [noun] - family
186. progetto             [noun] - project
187. no                   [adverb] - no
188. numero               [noun] - number
189. settimana            [noun] - week
190. risposta             [noun] - reply
191. meglio               [adverb] - better
192. scuola               [noun] - school
193. lui                  [pronoun] - he
194. importante           [adjective] - important
195. subito               [adverb] - immediately
196. prezzo               [noun] - price
197. difficile            [adjective] - hard
198. nulla                [pronoun] - nothing
199. paese                [noun] - country
200. comune               [noun] - city hall, town hall
201. programma            [noun] - program
202. quasi                [adverb] - almost
203. sapere               [verb] - to know
204. bisognare            [verb] - it is necessary to
205. servizio             [noun] - service
206. dove                 [adverb] - where
207. titolo               [noun] - title
208. nome                 [noun] - name
209. giocatore            [noun] - player
210. stato                [noun] - state
211. colpo                [noun] - blow
212. sindaco              [noun] - mayor
213. almeno               [adverb] - at least
214. mancare              [verb] - to be missing
215. nazionale            [adjective] - national
216. vittima              [noun] - victim
217. certo                [adverb] - of course
218. europeo              [adjective] - European
219. vittoria             [noun] - victory
220. sicurezza            [noun] - safety
221. fatto                [noun] - fact
222. iniziare             [verb] - to begin, to start
223. alcuno               [determiner] - not any, no
224. dato                 [noun] - figure, data
225. domenica             [noun] - Sunday
226. crisi                [noun] - crisis
227. avvenire             [verb] - to happen, future
228. positivo             [adjective] - positive
229. bastare              [verb] - to suffice, to be enough
230. ragazzo              [noun] - boy
231. sito                 [noun] - site
232. rischio              [noun] - risk
233. giocare              [verb] - to play
234. stagione             [noun] - season
235. verso                [preposition] - toward
236. lungo                [adjective] - long
237. scelta               [noun] - choice
238. guerra               [noun] - war
239. confermare           [verb] - to confirm
240. condizione           [noun] - condition
241. Napoli               [proper noun] - Naples
242. resto                [noun] - rest
243. rete                 [noun] - net
244. morire               [verb] - to die
245. terzo                [adjective] - third
246. sì                   [interjection] - yes
247. piazza               [noun] - square, plaza
248. piccolo              [adjective] - small
249. aperto               [adjective] - open
250. decisione            [noun] - decision
251. incontro             [noun] - meeting
252. corso                [noun] - course
253. musica               [noun] - music
254. indagine             [noun] - investigation
255. nota                 [noun] - note
256. notte                [noun] - night
257. ferito               [noun] - wounded
258. polemica             [noun] - controversy
259. politica             [noun] - politics
260. sentire              [verb] - to feel
261. voto                 [noun] - vote, mark
262. accordo              [noun] - agreement
263. chiaro               [adjective] - clear, light
264. noto                 [adjective] - well-known
265. aspettare            [verb] - to wait
266. tecnico              [adjective] - technical
267. decidere             [verb] - to decide
268. pronto               [adjective] - ready
269. infine               [adverb] - in the end
270. bambino              [noun] - baby
271. legge                [noun] - law
272. ormai                [adverb] - at this point
